date,home_team,away_team,ht_score,ft_score,firsthalf_home_goals,firsthalf_away_goals,secondhalf_home_goals,secondhalf_away_goals,total_home_goals,total_away_goals,firsthalf_result,secondhalf_result,result
Sat Aug 8 2015,Bournemouth,Aston Villa,0-0,0-1,0,0,0,1,0,1,Draw,Aston Villa,Aston Villa
Sat Aug 8 2015,Chelsea,Swansea,2-1,2-2,2,1,0,1,2,2,Chelsea,Swansea,Draw
Sat Aug 8 2015,Everton,Watford,0-1,2-2,0,1,2,1,2,2,Watford,Everton,Draw
Sat Aug 8 2015,Leicester,Sunderland,3-0,4-2,3,0,1,2,4,2,Leicester,Sunderland,Leicester
Sat Aug 8 2015,Man United,Tottenham,1-0,1-0,1,0,0,0,1,0,Man United,Draw,Man United
Sat Aug 8 2015,Norwich,Crystal Palace,0-1,1-3,0,1,1,2,1,3,Crystal Palace,Crystal Palace,Crystal Palace
Sun Aug 9 2015,Arsenal,West Ham,0-1,0-2,0,1,0,1,0,2,West Ham,West Ham,West Ham
Sun Aug 9 2015,Newcastle,Southampton,1-1,2-2,1,1,1,1,2,2,Draw,Draw,Draw
Sun Aug 9 2015,Stoke,Liverpool,0-0,0-1,0,0,0,1,0,1,Draw,Liverpool,Liverpool
Mon Aug 10 2015,West Brom,Man City,0-2,0-3,0,2,0,1,0,3,Man City,Man City,Man City
Fri Aug 14 2015,Aston Villa,Man United,0-1,0-1,0,1,0,0,0,1,Man United,Draw,Man United
Sat Aug 15 2015,Southampton,Everton,0-2,0-3,0,2,0,1,0,3,Everton,Everton,Everton
Sat Aug 15 2015,Sunderland,Norwich,0-2,1-3,0,2,1,1,1,3,Norwich,Draw,Norwich
Sat Aug 15 2015,Swansea,Newcastle,1-0,2-0,1,0,1,0,2,0,Swansea,Swansea,Swansea
Sat Aug 15 2015,Tottenham,Stoke,2-0,2-2,2,0,0,2,2,2,Tottenham,Stoke,Draw
Sat Aug 15 2015,Watford,West Brom,0-0,0-0,0,0,0,0,0,0,Draw,Draw,Draw
